Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS
2010-08-25	511.0	513.0	493.0	497.0	9143800	436.9507	-0.0326033941519
2010-08-26	500.0	504.8	497.0	501.85	5944800	441.2147	0.00975853797694
2010-08-27	505.0	522.0	502.0	510.15	9449400	448.5119	0.0165388868503
2010-08-30	521.0	529.4	520.15	527.9	7636500	464.1173	0.0347937256514
2010-08-31	524.1	527.65	515.55	522.7	7258400	459.5455	-0.00985052701117
2010-09-01	526.0	539.0	525.7	537.95	7598700	472.953	0.029175565858
2010-09-02	542.0	547.0	540.1	544.05	5960400	478.3159	0.0113391816946
2010-09-03	545.0	546.0	536.35	540.95	3572000	475.5905	-0.00569790801435
2010-09-06	544.0	577.65	543.1	575.7	15839000	506.1419	0.0642388777741
2010-09-07	573.2	584.45	570.25	576.4	8773700	506.7573	0.00121586456288
2010-09-08	572.0	586.55	567.9	580.6	8155500	510.4498	0.00728652552218
2010-09-09	583.0	596.65	575.05	593.65	8488800	521.9231	0.0224768429726
2010-09-13	599.0	606.7	595.4	601.5	7502300	528.8246	0.0132232123851
2010-09-14	604.4	615.85	595.1	596.9	7826200	524.7804	-0.00764752623081
2010-09-15	600.0	609.75	598.4	603.7	7214200	530.7588	0.0113921937633
2010-09-16	606.9	610.7	592.1	595.35	7029400	523.4177	-0.0138313297867
2010-09-17	597.35	614.25	597.35	604.8	9837800	531.7259	0.0158729825147
2010-09-20	606.95	621.9	605.6	618.0	8336100	543.331	0.0218253427189
2010-09-21	620.2	623.75	610.5	615.35	6881200	541.0012	-0.00428799387482
2010-09-22	619.0	628.3	613.4	618.85	7645800	544.0783	0.00568778775352
2010-09-23	621.0	624.5	612.0	623.5	6741100	548.1665	0.00751399201181
2010-09-24	625.0	633.9	624.0	629.95	5854900	553.8372	0.0103448496032
2010-09-27	635.5	649.5	634.2	645.9	7181100	567.8601	0.0253195343325
2010-09-28	645.0	655.9	642.0	651.65	6858400	572.9153	0.00890219263512
2010-09-29	650.2	664.7	650.2	653.1	7108800	574.1901	0.00222511076245
2010-09-30	653.0	658.0	642.1	651.85	7579700	573.0911	-0.0019140002588
2010-10-01	653.5	674.25	653.5	667.8	8031100	587.114	0.0244688846154
2010-10-04	672.0	680.6	666.35	669.7	5318000	588.7845	0.00284527366065
2010-10-05	672.0	677.5	666.2	668.35	3989600	587.5976	-0.0020158479036
2010-10-06	673.95	685.0	671.1	678.25	5549900	596.3014	0.0148125179545
2010-10-07	680.0	682.0	647.1	649.7	7710500	571.2009	-0.0420936459314
2010-10-08	654.95	658.95	619.3	626.6	15657700	550.8919	-0.0355549159674
2010-10-11	644.75	644.75	631.25	640.1	4675500	562.7608	0.0215448802206
2010-10-12	641.0	642.0	625.0	633.35	4604500	556.8264	-0.0105451552418
2010-10-13	636.6	640.0	631.5	637.85	7070500	560.7827	0.00710508697145
2010-10-14	640.65	659.4	640.65	652.5	7999500	573.6626	0.0229677199386
2010-10-15	645.6	658.6	631.1	635.85	4569500	559.0243	-0.0255172639806
2010-10-18	652.9	652.9	625.0	646.05	4662900	567.9919	0.0160415209142
2010-10-19	650.05	652.55	630.5	633.15	4659700	556.6506	-0.0199673622106
2010-10-20	625.0	629.5	614.1	615.7	7034900	541.3089	-0.0275607355853
2010-10-21	619.05	631.8	617.85	628.4	4654500	552.4745	0.0206270393855
2010-10-22	632.0	633.0	616.0	617.5	5741000	542.8915	-0.0173455969461
2010-10-25	624.4	630.8	619.1	620.25	5557200	545.3092	0.00445337604291
2010-10-26	621.6	624.95	602.8	605.65	8082800	532.4732	-0.0235389390093
2010-10-27	602.25	616.9	601.9	614.9	6989100	540.6056	0.0152728813394
2010-10-28	617.5	619.4	601.1	603.85	7831100	530.8907	-0.0179704020824
2010-10-29	605.1	605.45	581.0	589.4	7345000	518.1866	-0.023929784417
2010-11-01	600.25	602.95	590.6	591.9	5511000	520.3846	0.00424171524312
