Date	Open_RELIANCE.NS	High_RELIANCE.NS	Low_RELIANCE.NS	Close_RELIANCE.NS	Volume_RELIANCE.NS	AdjClose_RELIANCE.NS	Return_RELIANCE.NS
2010-08-05	1019.95	1023.7	1005.05	1007.05	4184900	945.9527	-0.00885775517479
2010-08-06	1008.9	1010.1	998.5	1000.1	4561500	939.4243	-0.00690140215256
2010-08-09	1000.0	1006.0	992.0	993.6	5086800	933.3187	-0.00649929962425
2010-08-10	991.0	1002.4	986.3	987.9	4569300	927.9645	-0.00573673280092
2010-08-11	989.8	994.9	980.1	983.25	5009900	923.5966	-0.00470696885495
2010-08-12	980.0	983.25	970.0	972.6	5694000	913.5927	-0.0108314604017
2010-08-13	970.5	993.8	970.5	979.1	6974500	919.6984	0.00668317511731
2010-08-16	980.0	991.9	975.0	976.9	3206700	917.6319	-0.00224693225518
2010-08-17	980.0	984.95	970.0	970.65	3380400	911.7611	-0.00639777235294
2010-08-18	973.0	977.0	958.35	964.6	5682400	906.0781	-0.00623299239242
2010-08-19	963.7	984.9	963.7	977.2	4723200	917.9137	0.0130624501354
2010-08-20	977.2	993.4	972.5	988.65	4799300	928.669	0.0117171145828
2010-08-23	992.05	992.05	975.6	976.9	3095800	917.6319	-0.0118848588679
2010-08-24	976.9	981.0	967.3	972.4	4406200	913.4049	-0.0046064222484
2010-08-25	970.0	977.85	965.5	967.8	4256300	909.0839	-0.00473065121503
2010-08-26	970.0	973.0	955.05	956.45	6362500	898.4226	-0.0117275204192
2010-08-27	958.9	960.9	946.55	949.6	5558100	891.9881	-0.00716199703792
2010-08-30	952.1	964.8	945.0	947.95	2722100	890.4383	-0.0017374671254
2010-08-31	944.65	949.95	915.0	919.2	10653100	863.4325	-0.0303286594927
2010-09-01	925.05	943.8	921.0	936.2	6374400	879.4011	0.0184943235285
2010-09-02	945.0	946.65	936.0	937.45	4045700	880.5753	0.00133522689476
2010-09-03	940.0	941.6	924.2	925.7	3300800	869.5382	-0.0125339650113
2010-09-06	930.95	957.7	922.3	952.65	7755400	894.8531	0.0291130395421
2010-09-07	955.0	969.7	953.0	962.3	6487100	903.9176	0.0101295955727
2010-09-08	955.1	964.7	952.0	959.6	2659000	901.3814	-0.00280578672215
2010-09-09	962.95	967.2	955.2	958.55	2311900	900.3951	-0.00109420939904
2010-09-10	957.8	957.8	957.8	957.8	0	899.6906	-0.000782434289125
2010-09-13	972.0	995.5	965.35	992.5	6280100	932.2854	0.0362288991349
2010-09-14	995.5	1003.0	984.35	988.15	4451100	928.1994	-0.00438277806346
2010-09-15	989.0	1018.7	989.0	1013.9	7670000	952.3871	0.0260587326387
2010-09-16	1012.1	1015.35	997.2	1000.35	4238100	939.6591	-0.0133643137334
2010-09-17	1005.0	1031.4	1005.0	1027.35	7304400	965.0211	0.0269906394777
2010-09-20	1029.0	1043.95	1021.1	1041.4	6953400	978.2187	0.0136759704011
2010-09-21	1042.0	1048.5	1025.05	1035.15	4880600	972.3479	-0.00600152092778
2010-09-22	1034.0	1043.7	1015.0	1020.05	5914000	958.164	-0.0145872686103
2010-09-23	1020.05	1024.0	996.0	997.65	5264300	937.123	-0.0219597062716
2010-09-24	1000.0	1009.0	992.1	1001.65	5181700	940.8803	0.00400939897964
2010-09-27	1008.0	1019.9	1005.1	1010.2	3763700	948.9116	0.00853594235101
2010-09-28	1008.3	1012.0	993.0	998.5	4499000	937.9214	-0.0115819007798
2010-09-29	1000.0	1009.0	995.0	999.0	4066500	938.3911	0.000500788232362
2010-09-30	1002.0	1002.0	978.1	987.25	6624700	927.3539	-0.0117618336321
2010-10-01	992.0	1010.0	990.0	1007.9	4366800	946.7511	0.0209167179865
2010-10-04	1014.95	1025.8	1014.95	1017.85	4837500	956.0974	0.00987197163014
2010-10-05	1016.0	1031.8	1009.0	1023.85	5243400	961.7334	0.00589479691086
2010-10-06	1030.0	1047.0	1026.95	1044.95	6431800	981.5533	0.0206085179115
2010-10-07	1044.95	1055.75	1032.5	1039.15	7211200	976.1052	-0.0055504881905
2010-10-08	1046.7	1054.8	1030.55	1049.65	4769400	985.9682	0.0101044436604
2010-10-11	1056.0	1072.25	1053.1	1069.2	5896700	1004.332	0.0186251442998
2010-10-12	1068.0	1069.4	1046.15	1055.6	3195500	991.5571	-0.0127197978358
2010-10-13	1056.1	1074.0	1054.7	1073.05	5478500	1007.9485	0.0165309693209
2010-10-14	1075.0	1081.5	1054.2	1059.0	5580700	994.7509	-0.0130935261077
2010-10-15	1060.0	1068.0	1035.6	1040.35	2652000	977.2324	-0.0176109415935
2010-10-18	1042.25	1064.95	1033.25	1047.45	5076600	983.9016	0.00682457929148
2010-10-19	1065.0	1068.7	1039.25	1044.4	4246900	981.0367	-0.00291177491733
2010-10-20	1039.4	1064.4	1038.0	1049.45	4167700	985.7802	0.00483519118092
2010-10-21	1052.0	1087.85	1049.2	1081.65	8520000	1016.0267	0.0306828033267
2010-10-22	1085.45	1093.8	1074.35	1081.8	4486400	1016.1677	0.000138775880594
2010-10-25	1088.0	1101.9	1086.0	1090.35	4118800	1024.1989	0.00790341987843
2010-10-26	1090.9	1100.95	1087.1	1098.85	3530200	1032.1832	0.00779565375436
2010-10-27	1098.0	1110.0	1083.25	1092.75	5016600	1026.4533	-0.00555124322892
2010-10-28	1099.4	1100.9	1074.6	1082.0	8271900	1016.3555	-0.00983756396906
2010-10-29	1087.7	1107.2	1080.5	1096.25	6794000	1029.7409	0.0131699980961
2010-11-01	1121.0	1124.9	1089.25	1093.2	6973900	1026.8759	-0.00278225328333
2010-11-02	1095.4	1095.4	1070.3	1074.85	4654100	1009.6393	-0.0167854752458
2010-11-03	1082.0	1084.9	1062.65	1065.3	4557900	1000.6687	-0.00888495525085
2010-11-04	1077.9	1107.0	1075.0	1105.05	5557200	1038.0071	0.037313448497
2010-11-05	1114.0	1117.5	1100.3	1105.7	1458900	1038.6176	0.000588146266052
2010-11-08	1113.9	1119.0	1100.55	1111.85	5112000	1044.3945	0.00556210485938
2010-11-09	1112.25	1120.5	1097.25	1108.55	3522400	1041.2948	-0.0029679397967
2010-11-10	1106.7	1116.9	1099.2	1102.2	2719900	1035.3299	-0.00572834897476
2010-11-11	1106.0	1111.8	1076.0	1079.9	2900700	1014.3829	-0.0202321984519
2010-11-12	1080.15	1087.4	1057.0	1061.85	4373200	997.428	-0.0167144970602
2010-11-15	1067.1	1067.9	1038.2	1054.7	3676700	990.7117	-0.00673361886773
2010-11-16	1059.0	1059.0	1026.55	1030.5	4533500	967.98	-0.0229448183563
2010-11-17	1029.0	1029.0	1029.0	1029.0	0	966.571	-0.00145560858695
2010-11-18	1049.8	1049.8	1014.0	1032.95	5206300	970.2813	0.00383862127045
2010-11-19	1036.0	1036.0	987.1	996.25	5674900	935.8079	-0.0355292841365
2010-11-22	1003.5	1016.45	997.2	1012.25	4333100	950.8372	0.0160602405686
2010-11-23	1004.65	1005.0	975.0	995.6	7569200	935.1973	-0.0164485571242
2010-11-24	999.0	1017.8	986.05	996.05	4503900	935.62	0.000451990184317
2010-11-25	1002.0	1003.0	973.0	979.5	6654600	920.0741	-0.0166156131763
2010-11-26	985.0	990.4	958.3	962.35	7003600	903.9646	-0.017508915858
2010-11-29	969.5	1002.45	962.4	998.4	5350900	937.8275	0.0374604271008
2010-11-30	999.8	1008.7	981.1	985.6	6968000	925.804	-0.0128205880079
2010-12-01	985.0	997.4	983.05	988.8	4280600	928.8099	0.00324679953856
2010-12-02	999.0	1013.45	995.05	1011.15	5676600	949.804	0.0226032259131
2010-12-03	1014.0	1024.0	998.0	1005.9	4489600	944.8725	-0.00519212384871
2010-12-06	1015.85	1030.0	1013.0	1020.15	4066500	958.2579	0.0141663557782
2010-12-07	1020.0	1039.7	1020.0	1030.75	5119800	968.2148	0.0103906265735
2010-12-08	1024.9	1027.75	1011.15	1020.55	3885300	958.6336	-0.00989573801185
2010-12-09	1024.55	1033.85	978.75	984.5	7249700	924.7708	-0.0353240278663
2010-12-10	986.8	1030.0	979.35	1023.9	6064100	961.7804	0.0400202947584
2010-12-13	1024.05	1046.0	1010.0	1041.75	3848000	978.5474	0.0174332935044
2010-12-14	1043.0	1060.0	1042.0	1055.25	4590200	991.2284	0.0129590043364
2010-12-15	1054.0	1064.0	1036.0	1053.9	4899900	989.9603	-0.00127932169821
2010-12-16	1057.7	1060.0	1040.05	1056.85	3550000	992.7313	0.00279910214581
2010-12-17	1057.75	1057.75	1057.75	1057.75	0	993.5767	0.000851589951883
2010-12-20	1045.0	1068.0	1044.6	1056.75	3624800	992.6374	-0.000945372410605
2010-12-21	1059.9	1074.9	1058.25	1073.15	3677800	1008.0424	0.0155192621193
2010-12-22	1072.8	1075.0	1048.35	1056.05	3458900	991.9799	-0.0159343495869
2010-12-23	1057.8	1064.7	1050.5	1059.4	3335000	995.1266	0.00317214088713
2010-12-24	1053.0	1064.5	1050.0	1059.7	2160700	995.4084	0.000283180049654
2010-12-27	1058.3	1068.8	1051.15	1055.25	1321600	991.2284	-0.00419928142057
2010-12-28	1056.3	1059.7	1042.25	1047.9	2024600	984.3243	-0.00696519591247
2010-12-29	1048.3	1055.0	1046.3	1048.6	2556500	984.9818	0.000667970911619
2010-12-30	1052.4	1055.75	1046.25	1051.2	3328500	987.4241	0.0024795382006
2010-12-31	1058.05	1066.5	1053.2	1058.7	2279700	994.469	0.00713462432201
2011-01-03	1065.0	1066.5	1052.6	1055.6	2379800	991.5571	-0.00292809529508
2011-01-04	1060.0	1079.9	1057.3	1077.1	5033800	1011.7527	0.0203675612832
2011-01-05	1080.0	1090.0	1070.0	1075.8	5930100	1010.5317	-0.001206816646
2011-01-06	1078.0	1091.4	1074.55	1085.6	4974600	1019.7371	0.00910946188032
2011-01-07	1081.3	1087.75	1058.0	1065.4	4085900	1000.7626	-0.0186072469071
2011-01-10	1065.4	1070.45	1021.2	1033.45	4223800	970.751	-0.029988730594
2011-01-11	1040.0	1048.7	998.6	1013.75	4833800	952.2462	-0.019062354816
2011-01-12	1020.65	1035.65	1003.0	1030.8	5301900	968.2618	0.0168187596863
2011-01-13	1030.0	1039.15	1011.1	1015.35	5562800	953.7491	-0.0149884049954
2011-01-14	1014.05	1029.8	998.0	1001.5	4368600	940.7394	-0.0136405895429
2011-01-17	1003.0	1008.0	992.05	997.9	3210700	937.3578	-0.00359461929627
2011-01-18	1004.85	1008.0	990.0	994.85	3399300	934.4928	-0.0030564636044
2011-01-19	999.6	1005.0	975.0	980.15	5369700	920.6847	-0.0147760367977
2011-01-20	977.6	977.6	954.55	969.85	9450300	911.0096	-0.010508592138
2011-01-21	975.0	992.5	973.0	986.8	4463900	926.9312	0.0174768740088
2011-01-24	995.1	995.9	964.1	971.6	5084300	912.6534	-0.015403300698
2011-01-25	977.1	984.95	956.25	958.5	4646000	900.3482	-0.0134828840828
2011-01-26	958.4	958.4	958.4	958.4	0	900.2543	-0.000104292983537
2011-01-27	966.0	967.4	940.0	942.7	6424300	885.5068	-0.0163814824322
2011-01-28	945.0	945.9	902.0	913.0	7738800	857.6087	-0.0315052351941
2011-01-31	908.85	928.85	903.1	919.3	5790500	863.5264	0.00690023317161
2011-02-01	925.1	927.7	888.55	895.5	8663000	841.1704	-0.0258891911122
2011-02-02	910.0	927.9	907.3	921.3	6506700	865.4051	0.028810690438
2011-02-03	928.0	947.5	915.0	943.9	3896800	886.634	0.0245305926669
2011-02-04	947.4	947.4	913.15	920.0	4735100	864.184	-0.025320481732
2011-02-07	925.7	938.8	914.4	929.05	3334100	872.6849	0.00983690973219
2011-02-08	935.7	935.7	911.25	915.25	4499700	859.7221	-0.0148539295226
2011-02-09	908.4	937.2	903.65	914.3	8738200	858.8298	-0.00103789352397
2011-02-10	912.5	920.8	885.1	899.65	6479800	845.0686	-0.0160231980772
2011-02-11	899.95	915.0	888.05	909.95	4574400	854.7437	0.0114488930248
2011-02-14	906.1	918.25	894.1	914.8	6890800	859.2994	0.00532990181735
2011-02-15	914.4	944.8	911.3	941.7	6232600	884.5674	0.0294053504518
2011-02-16	938.3	950.8	938.1	944.15	2523900	886.8688	0.00260172373524
2011-02-17	947.85	955.45	936.25	953.95	3221000	896.0742	0.010379663824
2011-02-18	956.05	963.0	932.0	935.55	3599700	878.7905	-0.0192882464421
2011-02-21	936.1	960.9	934.2	956.35	5858500	898.3286	0.0222329440293
2011-02-22	992.0	1009.4	979.25	984.85	20326200	925.0995	0.0298007878186
2011-02-23	986.4	1002.3	985.0	995.65	7128200	935.2443	0.0109661717469
2011-02-24	996.0	998.6	958.35	964.2	7521200	905.7024	-0.0315873617193
2011-02-25	980.7	982.25	954.55	966.25	3451900	907.628	0.002126084683
2011-02-28	970.2	994.3	960.0	964.25	5140200	905.7493	-0.0020699008845
2011-03-01	973.7	992.7	967.2	988.85	2885200	928.8568	0.0255120263411
2011-03-02	991.3	991.3	991.3	991.3	0	931.1582	0.00247766932427
2011-03-03	975.2	985.0	968.1	977.4	4461600	918.1016	-0.0140218923057
2011-03-04	984.65	994.8	978.1	982.2	3524700	922.6103	0.00491089439339
2011-03-07	974.1	983.3	964.0	977.05	2702100	917.7728	-0.00524327551947
2011-03-08	978.0	992.4	978.0	984.95	2756100	925.1935	0.00808555232842
2011-03-09	988.7	1004.4	968.1	993.85	7422800	933.5535	0.00903594761528
2011-03-10	992.7	993.0	982.0	984.75	2252400	925.0056	-0.00915630437891
2011-03-11	978.8	994.9	972.15	992.05	3428800	931.8627	0.00741303620216
2011-03-14	992.95	1020.75	992.25	1018.35	6585700	956.5671	0.0265107724561
2011-03-15	997.95	1049.6	988.9	1037.25	12902900	974.3205	0.0185594925855
2011-03-16	1045.0	1055.0	1038.1	1047.1	4709900	983.5728	0.00949615655218
2011-03-17	1039.3	1048.8	1028.0	1030.85	2830200	968.3087	-0.0155190342799
2011-03-18	1035.0	1035.0	986.6	993.0	9258000	932.7551	-0.0367172163175
2011-03-21	999.05	1000.0	981.1	990.3	3553700	930.2189	-0.00271904168629
2011-03-22	993.05	1004.9	992.15	999.65	2238600	939.0017	0.00944164862701
2011-03-23	999.85	1016.65	995.8	1013.25	2610400	951.7765	0.0136046612056
2011-03-24	1015.9	1021.95	1003.85	1010.3	2567800	949.0055	-0.00291139779139
2011-03-25	1023.9	1029.95	1010.0	1026.6	3518400	964.3166	0.0161338369483
2011-03-28	1026.25	1036.35	1014.3	1025.7	4361200	963.4711	-0.000876786731661
2011-03-29	1020.0	1032.0	1019.6	1022.75	4137800	960.7002	-0.00287595549052
2011-03-30	1027.5	1037.5	1024.1	1032.5	2801800	969.8586	0.00953304683397
2011-03-31	1034.5	1054.9	1034.5	1049.1	7201000	985.4515	0.0160774983075
2011-04-01	1049.05	1065.9	1031.0	1036.4	4291000	973.522	-0.0121056185921
2011-04-04	1040.0	1054.8	1029.0	1050.65	2997100	986.9075	0.0137495608728
2011-04-05	1052.5	1059.0	1040.0	1047.65	2458800	984.0895	-0.00285538411655
2011-04-06	1045.0	1054.25	1040.0	1044.85	2076200	981.4593	-0.00267272438127
2011-04-07	1045.05	1047.55	1035.1	1041.9	2323200	978.6884	-0.00282324493741
2011-04-08	1042.0	1050.9	1020.65	1023.9	2742000	961.7804	-0.0172761831038
2011-04-11	1013.0	1019.45	1003.65	1005.3	2582200	944.3088	-0.0181658931706
2011-04-12	1005.8	1005.8	1005.8	1005.8	0	944.7785	0.00049740085023
2011-04-13	1001.85	1024.0	996.6	1021.8	4369700	959.8078	0.0159077498059
2011-04-14	1022.45	1022.45	1022.45	1022.45	0	960.4184	0.000636169033009
2011-04-15	1018.65	1024.85	1005.0	1020.95	3240000	959.0094	-0.00146706893579
2011-04-18	1019.2	1044.7	1000.6	1009.15	3381600	947.9253	-0.0115578637707
2011-04-19	1004.7	1017.45	998.75	1011.65	2748200	950.2736	0.00247730491
2011-04-20	1016.0	1030.5	1008.2	1025.9	2357900	963.6591	0.0140859432483
2011-04-21	1034.8	1044.2	1030.0	1040.6	3413700	977.4672	0.0143288222983
2011-04-22	1039.25	1039.25	1039.25	1039.25	0	976.1991	-0.00129733253453
2011-04-25	1014.0	1021.0	1005.15	1009.35	4146200	948.1131	-0.028770770225
2011-04-26	1009.0	1009.0	997.55	1001.15	4035000	940.4107	-0.00812392529963
2011-04-27	1005.0	1009.1	980.1	986.1	5648300	926.2737	-0.0150327936507
2011-04-28	992.0	993.0	970.0	972.4	8163200	913.4049	-0.0138930858125
2011-04-29	975.0	988.0	971.3	983.75	3414200	924.0663	0.0116721510909
2011-05-02	983.9	986.8	961.3	964.75	3110900	906.219	-0.0193138739071
2011-05-03	965.1	967.4	941.05	943.9	5035300	886.634	-0.0216117737545
2011-05-04	945.0	956.75	940.0	947.65	2667100	890.1565	0.00397289073056
2011-05-05	945.0	963.55	943.65	949.95	4476300	899.9139	0.0109614432968
2011-05-06	953.0	960.0	949.1	955.05	2952400	904.7453	0.00536873583128
2011-05-09	960.0	966.05	951.4	959.3	1831600	908.7714	0.00444998166887
2011-05-10	959.3	963.9	946.55	950.75	1861400	900.6718	-0.00891269245489
2011-05-11	954.0	958.4	943.5	955.45	1873600	905.1242	0.00494342112188
2011-05-12	951.5	954.75	941.0	945.5	2107300	895.6983	-0.0104139299336
2011-05-13	945.25	962.0	937.95	948.0	3178600	898.0666	0.00264408227636
2011-05-16	950.0	951.4	941.55	945.0	1601900	895.2247	-0.00316446463993
2011-05-17	945.65	946.8	917.25	920.65	3973600	872.1572	-0.0257672738476
2011-05-18	920.0	923.85	898.35	901.85	5672200	854.3474	-0.0204204012763
2011-05-19	908.4	922.0	904.75	915.5	4131000	867.2785	0.0151356462254
2011-05-20	918.45	925.8	910.3	923.2	3171200	874.5729	0.0084106777696
2011-05-23	919.0	922.0	903.3	909.4	3391400	861.4998	-0.0149479820379
2011-05-24	906.0	920.9	906.0	915.75	2538900	867.5153	0.00698259012945
