Date	Open_DJI	High_DJI	Low_DJI	Close_DJI	Volume_DJI	AdjClose_DJI	Return_DJI
2013-07-01	14911.599609	15083.280273	14911.599609	14974.959961	120570000	14974.959961	0.00438377647382
2013-07-02	14974.959961	15049.219727	14870.509766	14932.410156	116610000	14932.410156	-0.00284139691263
2013-07-03	14923.730469	15025.900391	14858.929688	14988.370117	61000000	14988.370117	0.0037475504902
2013-07-05	14995.459961	15137.509766	14971.200195	15135.839844	94560000	15135.839844	0.00983894351746
2013-07-08	15137.219727	15262.719727	15137.219727	15224.69043	136820000	15224.69043	0.00587021182278
2013-07-09	15228.459961	15320.419922	15228.459961	15300.339844	109270000	15300.339844	0.00496886385624
2013-07-10	15298.030273	15348.950195	15258.889648	15291.660156	105050000	15291.660156	-0.000567287268681
2013-07-11	15298.0	15483.549805	15298.0	15460.919922	124950000	15460.919922	0.0110687632522
2013-07-12	15460.69043	15498.389648	15410.269531	15464.299805	130140000	15464.299805	0.000218608143439
2013-07-15	15459.69043	15509.480469	15455.769531	15484.259766	99430000	15484.259766	0.00129071223733
2013-07-16	15485.030273	15498.160156	15415.709961	15451.849609	105970000	15451.849609	-0.00209310341533
2013-07-17	15456.919922	15502.0	15438.120117	15470.519531	126240000	15470.519531	0.00120826454259
2013-07-18	15465.910156	15589.400391	15465.910156	15548.540039	136270000	15548.540039	0.00504317310376
2013-07-19	15524.269531	15544.549805	15491.959961	15543.740234	229260000	15543.740234	-0.000308698114933
2013-07-22	15543.969727	15576.209961	15516.200195	15545.549805	180920000	15545.549805	0.000116417990314
2013-07-23	15547.0	15604.219727	15544.05957	15567.740234	98700000	15567.740234	0.00142744574996
2013-07-24	15576.69043	15602.599609	15496.839844	15542.240234	99320000	15542.240234	-0.00163800266556
2013-07-25	15539.169922	15560.330078	15455.589844	15555.610352	103260000	15555.610352	0.000860243941588
2013-07-26	15547.849609	15560.969727	15405.160156	15558.830078	94880000	15558.830078	0.000206981656595
2013-07-29	15557.139648	15557.139648	15482.269531	15521.969727	87240000	15521.969727	-0.00236909528642
2013-07-30	15534.490234	15593.910156	15479.129883	15520.589844	117550000	15520.589844	-8.88987044989e-05
2013-07-31	15528.570312	15634.320312	15492.959961	15499.540039	145120000	15499.540039	-0.0013562503237
2013-08-01	15503.849609	15650.69043	15503.849609	15628.019531	111040000	15628.019531	0.00828924546643
2013-08-02	15627.55957	15658.429688	15558.679688	15658.360352	104840000	15658.360352	0.00194143736126
2013-08-05	15651.980469	15655.209961	15584.830078	15612.129883	76850000	15612.129883	-0.00295244635841
2013-08-06	15608.44043	15608.44043	15473.400391	15518.740234	87730000	15518.740234	-0.00598186472313
2013-08-07	15516.209961	15516.209961	15421.75	15470.669922	88430000	15470.669922	-0.00309756534842
2013-08-08	15477.269531	15557.120117	15418.599609	15498.320312	90990000	15498.320312	0.00178727812948
2013-08-09	15496.629883	15507.759766	15346.650391	15425.509766	81180000	15425.509766	-0.00469796368472
2013-08-12	15415.219727	15441.75	15359.929688	15419.679688	78060000	15419.679688	-0.000377950426822
2013-08-13	15420.679688	15504.139648	15342.339844	15451.009766	84790000	15451.009766	0.00203182417754
2013-08-14	15447.709961	15453.080078	15316.620117	15337.660156	91030000	15337.660156	-0.00733606487321
2013-08-15	15332.709961	15332.709961	15094.030273	15112.19043	128340000	15112.19043	-0.0147003991291
2013-08-16	15112.570312	15139.769531	15054.379883	15081.469727	151620000	15081.469727	-0.00203284250171
2013-08-19	15076.790039	15106.389648	15005.419922	15010.740234	111660000	15010.740234	-0.00468982760171
2013-08-20	15011.820312	15074.919922	14992.160156	15002.990234	102340000	15002.990234	-0.000516296989968
2013-08-21	14993.80957	15019.700195	14880.839844	14897.549805	98340000	14897.549805	-0.00702796091682
2013-08-22	14908.599609	14989.120117	14899.0	14963.740234	153490000	14963.740234	0.00444304129648
2013-08-23	14988.780273	15025.55957	14931.240234	15010.509766	131860000	15010.509766	0.00312552418504
2013-08-26	15014.580078	15049.980469	14945.240234	14946.459961	102820000	14946.459961	-0.00426699732377
2013-08-27	14939.25	14939.25	14765.419922	14776.129883	118610000	14776.129883	-0.0113960147382
2013-08-28	14770.990234	14867.400391	14760.410156	14824.509766	104620000	14824.509766	0.00327419177979
2013-08-29	14817.910156	14916.009766	14792.110352	14840.950195	93170000	14840.950195	0.00110900321559
2013-08-30	14844.099609	14848.240234	14762.349609	14810.30957	135850000	14810.30957	-0.00206459994794
2013-09-03	14801.549805	14933.349609	14777.480469	14833.959961	142530000	14833.959961	0.00159688701227
2013-09-04	14832.419922	14956.740234	14799.089844	14930.870117	122150000	14930.870117	0.0065329929604
2013-09-05	14929.490234	14987.469727	14923.269531	14937.480469	101010000	14937.480469	0.000442730527304
2013-09-06	14941.549805	15009.839844	14789.400391	14922.5	108410000	14922.5	-0.00100287789705
2013-09-09	14927.19043	15088.410156	14927.19043	15063.120117	90660000	15063.120117	0.00942336183615
2013-09-10	15067.230469	15192.129883	15067.230469	15191.05957	103200000	15191.05957	0.00849355591712
2013-09-11	15194.129883	15326.599609	15194.129883	15326.599609	102090000	15326.599609	0.00892235583538
2013-09-12	15327.139648	15345.320312	15283.259766	15300.639648	99760000	15300.639648	-0.00169378477042
2013-09-13	15312.860352	15380.969727	15312.860352	15376.05957	90890000	15376.05957	0.00492920059129
2013-09-16	15381.360352	15549.870117	15381.360352	15494.780273	105740000	15494.780273	0.00772113963656
2013-09-17	15503.150391	15555.070312	15503.150391	15529.730469	104480000	15529.730469	0.00225561094667
2013-09-18	15533.030273	15709.580078	15470.160156	15676.94043	145410000	15676.94043	0.00947923476804
2013-09-19	15677.860352	15695.889648	15625.450195	15636.549805	116280000	15636.549805	-0.00257643544545
2013-09-20	15635.089844	15654.769531	15448.089844	15451.089844	379650000	15451.089844	-0.0118606702446
2013-09-23	15452.30957	15466.950195	15368.25	15401.379883	94920000	15401.379883	-0.00321724625912
2013-09-24	15402.540039	15433.75	15327.139648	15334.589844	85430000	15334.589844	-0.0043366269456
2013-09-25	15339.019531	15372.480469	15253.160156	15273.259766	81890000	15273.259766	-0.00399945995452
2013-09-26	15274.419922	15387.19043	15274.419922	15328.299805	79050000	15328.299805	0.00360368643258
2013-09-27	15317.450195	15317.450195	15211.80957	15258.240234	95660000	15258.240234	-0.00457060286472
2013-09-30	15249.820312	15249.820312	15086.709961	15129.669922	122330000	15129.669922	-0.00842628704413
2013-10-01	15132.490234	15208.400391	15110.339844	15191.700195	82460000	15191.700195	0.0040999092062
2013-10-02	15182.650391	15182.650391	15044.709961	15133.139648	86090000	15133.139648	-0.00385477242496
2013-10-03	15127.230469	15127.230469	14947.030273	14996.480469	91300000	14996.480469	-0.0090304578018
2013-10-04	14994.679688	15083.990234	14972.330078	15072.580078	75100000	15072.580078	0.00507449792352
2013-10-07	15069.299805	15069.299805	14920.830078	14936.240234	79620000	14936.240234	-0.00904555446343
2013-10-08	14938.040039	14938.040039	14773.469727	14776.530273	102690000	14776.530273	-0.0106927820186
2013-10-09	14778.19043	14852.5	14719.429688	14802.980469	103190000	14802.980469	0.00179001399593
2013-10-10	14806.389648	15126.070312	14806.389648	15126.070312	106540000	15126.070312	0.0218259994112
2013-10-11	15126.519531	15237.299805	15100.129883	15237.110352	85730000	15237.110352	0.00734097076832
2013-10-14	15231.330078	15309.480469	15136.379883	15301.259766	81420000	15301.259766	0.00421007740431
2013-10-15	15300.299805	15301.910156	15161.330078	15168.009766	91440000	15168.009766	-0.00870843329489
2013-10-16	15170.700195	15374.150391	15170.700195	15373.830078	92850000	15373.830078	0.013569368373
2013-10-17	15369.459961	15376.110352	15229.019531	15371.650391	108490000	15371.650391	-0.000141779048483
2013-10-18	15371.709961	15412.969727	15321.80957	15399.650391	156660000	15399.650391	0.00182153505237
2013-10-21	15401.320312	15410.179688	15362.660156	15392.200195	93660000	15392.200195	-0.000483789943982
2013-10-22	15394.219727	15518.099609	15394.219727	15467.660156	107030000	15467.660156	0.00490248047998
2013-10-23	15465.339844	15465.660156	15366.19043	15413.330078	90630000	15413.330078	-0.00351249493796
2013-10-24	15414.870117	15528.629883	15414.129883	15509.209961	89240000	15509.209961	0.00622058195827
2013-10-25	15523.719727	15570.599609	15512.959961	15570.280273	109900000	15570.280273	0.00393768039465
2013-10-28	15569.19043	15599.089844	15533.480469	15568.929688	92760000	15568.929688	-8.67412131521e-05
2013-10-29	15572.209961	15683.080078	15572.209961	15680.349609	86600000	15680.349609	0.00715655624586
2013-10-30	15680.740234	15721.0	15574.519531	15618.759766	79170000	15618.759766	-0.00392783608375
2013-10-31	15619.919922	15651.860352	15544.69043	15545.75	114050000	15545.75	-0.00467449189909
2013-11-01	15558.009766	15649.400391	15543.25	15615.549805	101830000	15615.549805	0.00448996060016
2013-11-04	15621.200195	15658.900391	15588.480469	15639.120117	71200000	15639.120117	0.00150941287975
2013-11-05	15631.219727	15651.889648	15522.179688	15618.219727	91890000	15618.219727	-0.00133641725645
2013-11-06	15628.719727	15750.290039	15628.719727	15746.879883	109200000	15746.879883	0.00823782468482
2013-11-07	15751.30957	15797.679688	15586.330078	15593.980469	103860000	15593.980469	-0.00970982284339
2013-11-08	15591.540039	15764.290039	15579.349609	15761.780273	101200000	15761.780273	0.0107605498374
2013-11-11	15759.280273	15791.450195	15737.219727	15783.099609	58860000	15783.099609	0.00135259695483
2013-11-12	15773.150391	15793.379883	15708.290039	15750.669922	79260000	15750.669922	-0.00205470964534
2013-11-13	15739.5	15822.980469	15672.0	15821.629883	92450000	15821.629883	0.00450520272162
2013-11-14	15806.219727	15884.990234	15798.740234	15876.219727	123860000	15876.219727	0.0034503299852
2013-11-15	15876.160156	15962.980469	15875.900391	15961.700195	126460000	15961.700195	0.00538418272548
2013-11-18	15962.719727	16030.280273	15942.169922	15976.019531	94860000	15976.019531	0.000897105936402
2013-11-19	15974.05957	16025.849609	15943.780273	15967.030273	84570000	15967.030273	-0.000562671946073
2013-11-20	15971.200195	16016.849609	15865.370117	15900.820312	84350000	15900.820312	-0.00414666721788
2013-11-21	15908.070312	16016.040039	15908.070312	16009.990234	79000000	16009.990234	0.00686567861644
2013-11-22	16008.709961	16068.780273	15976.269531	16064.769531	81000000	16064.769531	0.0034215696699
2013-11-25	16072.089844	16109.629883	16055.459961	16072.540039	94040000	16072.540039	0.000483698691413
2013-11-26	16070.929688	16120.25	16070.929688	16072.799805	107450000	16072.799805	1.61621000396e-05
2013-11-27	16073.370117	16107.990234	16057.339844	16097.330078	65730000	16097.330078	0.00152619788074
2013-11-29	16105.160156	16174.509766	16074.139648	16086.410156	69190000	16086.410156	-0.000678368521183
2013-12-02	16087.120117	16098.0	15986.230469	16008.769531	92590000	16008.769531	-0.00482647304446
2013-12-03	16004.719727	16004.719727	15859.679688	15914.620117	103910000	15914.620117	-0.00588111496125
2013-12-04	15910.509766	15960.360352	15791.290039	15889.769531	111180000	15889.769531	-0.00156149413667
2013-12-05	15886.5	15896.19043	15809.370117	15821.509766	128080000	15821.509766	-0.00429583102932
2013-12-06	15825.549805	16022.349609	15825.549805	16020.200195	98260000	16020.200195	0.0125582470914
2013-12-09	16019.490234	16058.400391	16015.290039	16025.530273	91810000	16025.530273	0.000332709824791
2013-12-10	16024.120117	16029.05957	15969.530273	15973.129883	79420000	15973.129883	-0.00326980693352
2013-12-11	15970.75	15997.219727	15827.700195	15843.530273	107170000	15843.530273	-0.00811360146379
2013-12-12	15844.820312	15845.110352	15703.790039	15739.429688	105870000	15739.429688	-0.00657054224698
2013-12-13	15745.660156	15792.799805	15717.919922	15755.360352	83180000	15755.360352	0.00101215001533
