Date	Open_RELIANCE.NS	High_RELIANCE.NS	Low_RELIANCE.NS	Close_RELIANCE.NS	Volume_RELIANCE.NS	AdjClose_RELIANCE.NS	Return_RELIANCE.NS	reliance_RoC6	reliance_RoC14	reliance_MA6	reliance_MA14	reliance_MoM6	reliance_MoM14	reliance_EMA6	reliance_EMA14	reliance_WIILR6	reliance_WIILR14	reliance_K%6	reliance_K%14	reliance_OBV	reliance_RSI6	reliance_RSI14
2011-10-19	825.5	845.0	824.1	843.0	2713800	798.5972	0.0281740769447	0.0193469825385	0.0574510705372	798.9367	775.600857143	15.1572	43.3876	788.572738605	779.144296368	1.21855698372	0.658664196387	-0.218556983719	0.341335803613	-134961800.0	0.450607652733	0.554202588488
2011-10-20	834.85	840.9	822.0	838.7	2279300	794.5237	-0.00510081928662	-0.0128877359463	0.0383805092971	797.207816667	777.698507143	-10.3733	29.3671	791.436870432	781.738016852	1.28836846615	0.696399258916	-0.288368466153	0.303600741084	-137241100.0	0.56926383979	0.598494554918
2011-10-21	840.0	849.2	831.1	835.75	2364100	791.7291	-0.00351732742522	-0.0131656586793	0.0338962378242	795.447366667	779.552564286	-10.5627	25.9568	792.318821737	783.442774605	1.3362622108	0.722287169986	-0.336262210797	0.277712830014	-139605200.0	0.443643523131	0.568493000523
2011-10-24	848.0	854.0	843.55	846.5	2075800	801.9129	0.0128627329727	-0.0235321436504	0.0739659912223	792.22645	783.497507143	-19.3255	55.2292	792.150329812	784.547617991	1.16173264781	0.627949050486	-0.161732647815	0.372050949514	-137529400.0	0.442732397696	0.559930032989
2011-10-25	855.0	880.95	842.15	875.95	5197000	829.8117	0.0347903120152	0.0505517407794	0.135238549958	798.881433333	790.558485714	39.9299	98.8537	794.93963558	786.862988926	0.678926956522	0.36950717925	0.321073043478	0.63049282075	-132332400.0	0.384222287457	0.632983457129
2011-10-26	879.0	881.5	871.05	873.6	737200	827.5854	-0.00268289781887	0.0654956650711	0.138983014458	807.36	797.771707143	50.8714	100.9851	804.903082557	792.589483736	0.766732758621	0.447689597315	0.233267241379	0.552310402685	-133069600.0	0.749556571923	0.724843797978
2011-10-28	899.7	904.0	884.1	900.0	5606800	852.5949	0.0302198419643	0.0676156891109	0.120936580589	816.359616667	804.3421	53.9977	91.9855	811.383744684	797.255605904	0.4858	0.299224637681	0.5142	0.700775362319	-127462800.0	0.868311994463	0.731940535453
2011-10-31	898.0	899.3	872.55	877.55	3628000	831.3274	-0.0249444372703	0.0463217145064	0.0582453665898	822.493566667	807.610378571	36.8037	45.7559	823.158360488	804.63417845	0.886251219512	0.728182364729	0.113748780488	0.271817635271	-131090800.0	0.874015224453	0.720381031785
2011-11-01	870.5	878.5	857.6	860.6	3745200	815.2702	-0.019315133845	0.0297337814159	0.0406287654447	826.417083333	809.883964286	23.5411	31.8302	825.492371777	808.193274657	1.21714403292	0.957688073394	-0.217144032922	0.0423119266055	-134836000.0	0.705882155504	0.611598721768
2011-11-02	855.0	880.95	855.0	871.8	3143200	825.8803	0.0130142129566	0.0298877845711	0.0260695467867	830.41165	811.382771429	23.9674	20.9833	822.57175127	809.136864703	1.26305092967	0.843169994603	-0.263050929669	0.156830005397	-131692800.0	0.614674537305	0.572695722239
