Date	Open_N225	High_N225	Low_N225	Close_N225	Volume_N225	AdjClose_N225	Return_N225
2014-07-28	15426.980469	15556.620117	15426.980469	15529.400391	115600	15529.400391	0.00462743401637
2014-07-29	15564.790039	15632.700195	15556.019531	15618.070312	98800	15618.070312	0.00570980970079
2014-07-30	15616.889648	15666.620117	15594.889648	15646.230469	117500	15646.230469	0.0018030497006
2014-07-31	15732.780273	15759.660156	15618.849609	15620.769531	154100	15620.769531	-0.00162728895311
2014-08-01	15511.540039	15602.129883	15501.150391	15523.110352	143300	15523.110352	-0.00625188015265
2014-08-04	15474.650391	15535.620117	15440.209961	15474.5	123600	15474.5	-0.00313148273108
2014-08-05	15506.870117	15507.320312	15313.839844	15320.30957	131500	15320.30957	-0.00996416233158
2014-08-06	15260.0	15271.139648	15121.429688	15159.790039	135500	15159.790039	-0.0104775644556
2014-08-07	15138.719727	15243.05957	15061.990234	15232.370117	143100	15232.370117	0.00478767039737
2014-08-08	15063.730469	15074.320312	14753.839844	14778.370117	177200	14778.370117	-0.029804948049
2014-08-11	15022.639648	15161.540039	14973.709961	15130.519531	114600	15130.519531	0.0238287044655
2014-08-12	15164.730469	15235.980469	15125.929688	15161.30957	89300	15161.30957	0.00203496244375
2014-08-13	15111.759766	15235.900391	15108.530273	15213.629883	96300	15213.629883	0.00345090988074
2014-08-14	15284.379883	15338.849609	15272.900391	15314.570312	92700	15314.570312	0.00663486819229
2014-08-15	15317.150391	15328.339844	15276.990234	15318.339844	88700	15318.339844	0.00024614023921
2014-08-18	15318.5	15365.349609	15303.389648	15322.599609	77300	15322.599609	0.000278082680198
2014-08-19	15451.94043	15476.049805	15429.110352	15449.790039	94200	15449.790039	0.00830083884234
2014-08-20	15485.929688	15492.879883	15433.719727	15454.450195	92700	15454.450195	0.00030163231916
2014-08-21	15530.980469	15601.990234	15525.780273	15586.200195	117700	15586.200195	0.00852505254717
2014-08-22	15618.049805	15628.780273	15524.429688	15539.19043	102300	15539.19043	-0.00301611453798
2014-08-25	15609.429688	15628.610352	15553.509766	15613.25	81900	15613.25	0.0047659863835
2014-08-26	15609.639648	15613.339844	15519.419922	15521.219727	86400	15521.219727	-0.00589437003827
2014-08-27	15556.55957	15588.219727	15465.990234	15534.820312	102200	15534.820312	0.000876257487441
2014-08-28	15482.269531	15487.990234	15423.900391	15459.860352	99300	15459.860352	-0.00482528658166
2014-08-29	15423.879883	15447.80957	15356.0	15424.589844	111000	15424.589844	-0.0022814247475
2014-09-01	15454.589844	15478.769531	15440.990234	15476.599609	74800	15476.599609	0.00337187345181
2014-09-02	15526.94043	15737.360352	15516.5	15668.599609	122600	15668.599609	0.0124058258823
2014-09-03	15797.790039	15829.379883	15723.540039	15728.349609	137800	15728.349609	0.00381335929764
2014-09-04	15701.610352	15732.759766	15663.589844	15676.179688	110900	15676.179688	-0.00331693548891
2014-09-05	15792.639648	15792.639648	15641.370117	15668.679688	109600	15668.679688	-0.000478432893044
2014-09-08	15718.129883	15730.330078	15656.400391	15705.110352	95600	15705.110352	0.00232506278292
2014-09-09	15795.820312	15795.820312	15736.129883	15749.150391	106100	15749.150391	0.00280418526282
2014-09-10	15688.549805	15795.599609	15664.790039	15788.780273	109700	15788.780273	0.00251631872299
2014-09-11	15880.910156	15925.509766	15854.299805	15909.200195	130300	15909.200195	0.00762693000459
2014-09-12	15885.040039	15984.900391	15885.040039	15948.290039	183400	15948.290039	0.00245705903005
2014-09-15	15948.290039	15948.290039	15948.290039	15948.290039	0	15948.290039	0.0
2014-09-16	15896.05957	15938.30957	15871.120117	15911.530273	121300	15911.530273	-0.00230493462999
2014-09-17	15948.150391	15969.410156	15888.669922	15888.669922	114700	15888.669922	-0.00143671605482
2014-09-18	16036.469727	16106.110352	16003.459961	16067.570312	143100	16067.570312	0.0112596202752
2014-09-19	16177.94043	16364.080078	16170.860352	16321.169922	171300	16321.169922	0.0157833203823
2014-09-22	16281.360352	16299.129883	16170.110352	16205.900391	129100	16205.900391	-0.0070625777166
2014-09-24	16105.55957	16203.94043	16094.589844	16167.450195	133300	16167.450195	-0.00237260473484
2014-09-25	16327.19043	16374.139648	16303.910156	16374.139648	148700	16374.139648	0.0127842950191
2014-09-26	16087.950195	16251.669922	16087.950195	16229.860352	127400	16229.860352	-0.00881141233076
2014-09-29	16339.030273	16344.320312	16262.0	16310.639648	107900	16310.639648	0.00497720215997
2014-09-30	16252.719727	16252.719727	16058.719727	16173.519531	152500	16173.519531	-0.00840678967589
2014-10-01	16173.389648	16225.959961	16081.009766	16082.25	137100	16082.25	-0.00564314593525
